Discipline,PI Department,Sponsor,Year,Total
Biochemistry,Biology - A&S,NSF,2011,295868
Biochemistry,Biology - A&S,NSF,2011,1723
Biochemistry,Biology - A&S,NIH,2012,1899334
Biochemistry,Biology - A&S,NIH,2011,12813
Biochemistry,Biomedical Engineering,USDA,2013,414678
Biochemistry,Biomedical Engineering,USDA,2013,425559
Biochemistry,Biomedical Engineering,USAF,2010,140000
Biochemistry,Biomedical Engineering,ONR,2010,5057004
Biochemistry,Biomedical Engineering,NSF,2009,15820926
Biochemistry,Biomedical Engineering,NSF,2010,2193793
Biochemistry,Biomedical Engineering,NSF,2008,1244169
Biochemistry,Biomedical Engineering,NSF,2009,670834
Biochemistry,Biomedical Engineering,NSF,2012,599121
Biochemistry,Biomedical Engineering,NSF,2010,581859
Biochemistry,Biomedical Engineering,NSF,2011,553902
Biochemistry,Biomedical Engineering,NSF,2010,523526
Biochemistry,Biomedical Engineering,NSF,2010,523006
Biochemistry,Biomedical Engineering,NSF,2010,461512
Biochemistry,Biomedical Engineering,NSF,2010,438867
Biochemistry,Biomedical Engineering,NSF,2009,421179
Biochemistry,Biomedical Engineering,NSF,2009,338253
Biochemistry,Biomedical Engineering,NSF,2011,184069
Biochemistry,Biomedical Engineering,NSF,2008,150000
Biochemistry,Biomedical Engineering,NSF,2010,90844
Biochemistry,Biomedical Engineering,NSF,2013,408562
Biochemistry,Biomedical Engineering,NSF,2012,627560
Biochemistry,Biomedical Engineering,NSF,2011,12000
Biochemistry,Biomedical Engineering,NIH,2013,2569893
Biochemistry,Biomedical Engineering,NIH,2013,905252
Biochemistry,Biomedical Engineering,NIH,2013,825012
Biochemistry,Biomedical Engineering,NIH,2012,159310
Biochemistry,Biomedical Engineering,NIH,2012,101446
Biochemistry,Biomedical Engineering,NIH,2013,52190
Biochemistry,Biomedical Engineering,NIH,2010,7987182
Biochemistry,Biomedical Engineering,NIH,2010,4414632
Biochemistry,Biomedical Engineering,NIH,2010,3937209
Biochemistry,Biomedical Engineering,NIH,2009,3306746
Biochemistry,Biomedical Engineering,NIH,2010,3082852
Biochemistry,Biomedical Engineering,NIH,2013,3047980
Biochemistry,Biomedical Engineering,NIH,2008,3040006
Biochemistry,Biomedical Engineering,NIH,2010,3013591
Biochemistry,Biomedical Engineering,NIH,2010,3001832
Biochemistry,Biomedical Engineering,NIH,2010,2889146
Biochemistry,Biomedical Engineering,NIH,2009,2683620
Biochemistry,Biomedical Engineering,NIH,2009,2358228
Biochemistry,Biomedical Engineering,NIH,2010,2349868
Biochemistry,Biomedical Engineering,NIH,2009,2184996
Biochemistry,Biomedical Engineering,NIH,2009,1895335
Biochemistry,Biomedical Engineering,NIH,2007,1894008
Biochemistry,Biomedical Engineering,NIH,2009,1877070
Biochemistry,Biomedical Engineering,NIH,2011,1871026
Biochemistry,Biomedical Engineering,NIH,2010,1869521
Biochemistry,Biomedical Engineering,NIH,2011,1867077
Biochemistry,Biomedical Engineering,NIH,2011,1867075
Biochemistry,Biomedical Engineering,NIH,2012,1866590
Biochemistry,Biomedical Engineering,NIH,2010,1847754
Biochemistry,Biomedical Engineering,NIH,2010,1806053
Biochemistry,Biomedical Engineering,NIH,2010,1702401
Biochemistry,Biomedical Engineering,NIH,2008,1618691
Biochemistry,Biomedical Engineering,NIH,2008,1498103
Biochemistry,Biomedical Engineering,NIH,2010,1288727
Biochemistry,Biomedical Engineering,NIH,2011,1284750
Biochemistry,Biomedical Engineering,NIH,2009,1077420
Biochemistry,Biomedical Engineering,NIH,2009,904390
Biochemistry,Biomedical Engineering,NIH,2012,827239
Biochemistry,Biomedical Engineering,NIH,2012,825364
Biochemistry,Biomedical Engineering,NIH,2012,424909
Biochemistry,Biomedical Engineering,NIH,2010,412887
Biochemistry,Biomedical Engineering,NIH,2010,412887
Biochemistry,Biomedical Engineering,NIH,2010,412885
Biochemistry,Biomedical Engineering,NIH,2010,412855
Biochemistry,Biomedical Engineering,NIH,2010,399398
Biochemistry,Biomedical Engineering,NIH,2010,381597
Biochemistry,Biomedical Engineering,NIH,2010,379115
Biochemistry,Biomedical Engineering,NIH,2009,371520
Biochemistry,Biomedical Engineering,NIH,2009,323142
Biochemistry,Biomedical Engineering,NIH,2009,320046
Biochemistry,Biomedical Engineering,NIH,2010,207999
Biochemistry,Biomedical Engineering,NIH,2012,162861
Biochemistry,Biomedical Engineering,NIH,2008,153500
Biochemistry,Biomedical Engineering,NIH,2011,152766
Biochemistry,Biomedical Engineering,NIH,2011,150000
