Name	Age	Class	Ticket	Location	Job	Boat	Survived	Sex
ABBING, Mr Anthony	42	3rd Class Passenger	5547 £7 11s	Southampton	Blacksmith		0	M
ABBOTT, Mr Ernest Owen	21	Victualling Crew		Southampton	Lounge Pantry Steward		0	M
ABBOTT, Mr Eugene Joseph	14	3rd Class Passenger	CA2673 £20 5s	Southampton	Scholar		0	M
ABBOTT, Mr Rossmore Edward	16	3rd Class Passenger	CA2673 £20 5s	Southampton	Jeweller	[190]	0	M
ABBOTT, Mrs Rhoda Mary 'Rosa'	39	3rd Class Passenger	CA2673 £20 5s	Southampton		A	1	F
ABELSETH, Miss Karen Marie	16	3rd Class Passenger	348125 £7 13s	Southampton		16	1	F
ABELSETH, Mr Olaus Jørgensen	25	3rd Class Passenger	348122 £7 13s	Southampton	Farmer	A	1	M
ABELSON, Mr Samuel	30	2nd Class Passenger	3381 £24	Cherbourg			0	M
ABELSON, Mrs Hannah	28	2nd Class Passenger	3381 £24	Cherbourg		10	1	F
ABRAHAMSSON, Mr Abraham August Johannes	20	3rd Class Passenger	3101284 £7 18s 6d	Southampton		15	1	M
ABRAMS, Mr William Thomas	33	Engineering Crew		Southampton	Fireman		0	M
ÅDAHL, Mr Mauritz	30	3rd Class Passenger	7076 £7 5s	Southampton	General Labourer	[72]	0	M
ADAMS, Mr John	26	3rd Class Passenger	341826 £8 1s	Southampton		[103]	0	M
ADAMS, Mr Robert John	26	Engineering Crew		Southampton	Fireman		0	M
AHIER, Mr Percy Snowden	20	Victualling Crew		Southampton	Saloon Steward		0	M
AHLIN, Mrs Johanna Persdotter	40	3rd Class Passenger	7546 £9 9s 6d	Southampton			0	F
AKERMAN, Mr Albert Edward	31	Victualling Crew		Southampton	3rd Class Steward		0	M
AKERMAN, Mr Joseph Francis	35	Victualling Crew		Southampton	Assistant Pantryman Steward	[205]	0	M
AKS, Master Frank Philip	0	3rd Class Passenger	392091 £9 7s	Southampton		11	1	M
AKS, Mrs Leah	18	3rd Class Passenger	392091 £9 7s	Southampton		13	1	F
ALBIMONA, Mr Nassef Cassem	26	3rd Class Passenger	2699 £18 15s 9d	Cherbourg		15	1	M
ALDWORTH, Mr Augustus Henry	34	2nd Class Passenger Servant	248744 £13	Southampton	Chauffeur		0	M
ALEXANDER, Mr William Albert	23	3rd Class Passenger	3474 £7 17s 9d	Southampton	General Labourer		0	M
ALHOMäKI, Mr Ilmari Rudolf	19	3rd Class Passenger	3101287 £7 18s 6d	Southampton	General Labourer		0	M
ALI, Mr Ahmed	24	3rd Class Passenger	3101311 £7 1s	Southampton	General Labourer		0	M
ALI, Mr William	25	3rd Class Passenger	3101312 £7 1s	Southampton	General Labourer	[79]	0	M
ALLARIA, Sig. Battista Antonio	22	Restaurant Staff		Southampton	Assistant Waiter	[221]	0	M
ALLEN, Miss Elisabeth Walton	29	1st Class Passenger	24160 £211 60s 9d	Southampton		2	1	F
ALLEN, Mr Ernest Frederick	24	Engineering Crew		Southampton	Trimmer	B	1	M
ALLEN, Mr Frederick	17	Victualling Crew		Southampton	Lift Steward		0	M
ALLEN, Mr George	26	Victualling Crew		Southampton	Scullion		0	M
